qid,qlabel,base_gdp4,base_lur,base_pcxfe4,base_rff,gdp4_p05,gdp4_p15,gdp4_p50,gdp4_p85,gdp4_p95,lur_p05,lur_p15,lur_p50,lur_p85,lur_p95,pcxfe4_p05,pcxfe4_p15,pcxfe4_p50,pcxfe4_p85,pcxfe4_p95,rff_p05,rff_p15,rff_p50,rff_p85,rff_p95
8155,2038Q3,1.80096661057998,4.1000006635799,2.00000061065515,2.5002017996697,1.80096661057998,1.80096661057998,1.80096661057998,1.80096661057998,1.80096661057998,4.1000006635799,4.1000006635799,4.1000006635799,4.1000006635799,4.1000006635799,2.00000061065515,2.00000061065515,2.00000061065515,2.00000061065515,2.00000061065515,2.5002017996697,2.5002017996697,2.5002017996697,2.5002017996697,2.5002017996697
8156,2038Q4,1.80271080020777,4.098586084326,2.00000057127787,2.5002224076976,1.80271080020777,1.80271080020777,1.80271080020777,1.80271080020777,1.80271080020777,4.098586084326,4.098586084326,4.098586084326,4.098586084326,4.098586084326,2.00000057127787,2.00000057127787,2.00000057127787,2.00000057127787,2.00000057127787,2.5002224076976,2.5002224076976,2.5002224076976,2.5002224076976,2.5002224076976
8157,2039Q1,1.80495471264124,4.0973563890825,2.0000005237095,2.5001890465429,1.80495471264124,1.80495471264124,1.80495471264124,1.80495471264124,1.80495471264124,4.0973563890825,4.0973563890825,4.0973563890825,4.0973563890825,4.0973563890825,2.0000005237095,2.0000005237095,2.0000005237095,2.0000005237095,2.0000005237095,2.5001890465429,2.5001890465429,2.5001890465429,2.5001890465429,2.5001890465429
8158,2039Q2,1.80699985229664,4.0971148654316,2.00000047018474,2.5001606895615,1.80699985229664,1.80699985229664,1.80699985229664,1.80699985229664,1.80699985229664,4.0971148654316,4.0971148654316,4.0971148654316,4.0971148654316,4.0971148654316,2.00000047018474,2.00000047018474,2.00000047018474,2.00000047018474,2.00000047018474,2.5001606895615,2.5001606895615,2.5001606895615,2.5001606895615,2.5001606895615
8159,2039Q3,1.80887738104805,4.0978727074241,2.00000041333384,2.5001365861274,1.80887738104805,1.80887738104805,1.80887738104805,1.80887738104805,1.80887738104805,4.0978727074241,4.0978727074241,4.0978727074241,4.0978727074241,4.0978727074241,2.00000041333384,2.00000041333384,2.00000041333384,2.00000041333384,2.00000041333384,2.5001365861274,2.5001365861274,2.5001365861274,2.5001365861274,2.5001365861274
8160,2039Q4,1.80877263502306,4.0992734381315,2.00000035133217,2.5001160982084,1.80877263502306,1.80877263502306,1.80877263502306,1.80877263502306,1.80877263502306,4.0992734381315,4.0992734381315,4.0992734381315,4.0992734381315,4.0992734381315,2.00000035133217,2.00000035133217,2.00000035133217,2.00000035133217,2.00000035133217,2.5001160982084,2.5001160982084,2.5001160982084,2.5001160982084,2.5001160982084
8161,2040Q1,1.80805885802788,4.100891937153,2.00000029863228,2.5000986834772,1.01489351033843,1.44191841054659,1.81717373124928,2.30609163919302,2.55671202336851,3.72310630273206,3.84332003693853,4.06228899092225,4.33035145178989,4.58227442891316,1.71205179687677,1.837809434471,1.9947961429382,2.18521841261945,2.27746022417301,2.36787166821965,2.42916808249584,2.49634786372568,2.57523108267546,2.63699717071943
8162,2040Q2,1.80745246491829,4.1023960203393,2.00000025384155,2.5000838809559,0.687058713224475,1.16701008169151,1.79916565929392,2.49870719708912,3.1784979887548,3.48581468322496,3.74087536606169,4.08064968235341,4.48439955311966,4.76607524818605,1.47203381864506,1.67615920614734,2.00810666823334,2.33891785501584,2.53297591005379,2.2251067467917,2.32756327806798,2.49815103535007,2.68399056046675,2.82188557461395
8163,2040Q3,1.80693733133708,4.1035994267314,2.00000021576785,2.5000712988126,0.11434603593766,0.830835649999371,1.87646047870291,2.8122283406502,3.42042830625357,3.3178375384594,3.585924457028,4.07817101913622,4.59435968615024,4.99951976373226,1.19864222441662,1.50902472684369,2.02330816061298,2.50850394394164,2.86102824039343,2.01596966700717,2.17491547629494,2.51167649771656,2.81444748762801,3.02342710901094
8164,2040Q4,1.80649975267979,4.1044479485178,2.0000001834023,2.5000606039908,-0.329960583425297,0.591313007874634,1.90263347745618,3.09714976876149,3.98728097800988,2.99177210024284,3.43916778923044,4.07961046130883,4.71221179639326,5.13039294377017,0.925082105840398,1.33850576000887,2.04551966670248,2.6506092036948,3.12283260108295,1.74391017034816,2.04281073102029,2.51322554849301,2.98983129753261,3.34161632250159
